SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
92.59375	-1.502038002	14.30274105	23.65820694	132.8092499	39.37034988	-1.410684109	-0.880783796	0.624366403	69.33010864	43.67610168	59.65641785	56.894207	29.66499329	63.86862564	729.4879761	4978.52301
93.53125	-1.581603885	13.69863033	23.85923386	123.2099762	42.32551956	-1.639493704	-0.898846149	0.548246145	67.59387207	43.76691818	61.59300613	60.82995224	30.08992767	64.74144745	729.4879761	4982.71801
93.375	-1.424280882	15.8311348	24.8307209	117.6227875	44.61351776	-1.793344736	-0.93005085	0.518612444	64.93456268	44.20283127	63.71641541	65.014328	33.44723511	67.27157593	729.4879761	4987.09801
93.3125	-1.760647893	14.13427544	27.40486717	118.2190475	48.30747604	-2.042327881	-1.00474906	0.491962671	63.02249908	43.90087128	68.13904572	65.78829956	33.7455368	61.99764252	729.4879761	4990.88801
93.625	-1.754267216	15.07537651	29.12363243	140.9202881	50.13324738	-2.178858042	-1.042780161	0.47859022	61.68185806	43.63069153	72.42938232	65.45954895	33.08485031	66.71408844	729.4879761	4995.13301
92.28125	-1.850991249	14.83312702	30.23560715	159.1293182	49.12121201	-2.240615368	-1.066138387	0.475823909	62.47305679	43.02677155	74.00440979	66.08001709	31.59848976	69.16970825	729.4879761	4999.11301
92.59375	-1.85025692	15.8311348	32.25712585	144.7800903	44.12218857	-2.379194975	-1.135878563	0.477421373	63.85765457	42.73388672	66.46764374	63.04111862	29.70303535	70.08266449	729.4879761	5003.15801
92.40625	-1.5882411	15.28662395	26.73681259	138.3292999	45.5234375	-1.9468472	-0.953306735	0.489666939	65.41807556	41.95060349	68.11470032	65.19610596	31.5558033	63.46325684	729.4879761	5006.94801
92.375	-1.39026463	19.16932869	29.34850693	127.9645996	48.46550751	-2.116286755	-1.063062787	0.502324522	65.06642914	42.6226387	74.71568298	66.12324524	32.5565567	67.17508698	729.4879761	5010.87301
91.25	-1.665068507	14.08450699	25.82589531	127.5475845	47.55500031	-1.869510889	-0.941289067	0.503494859	66.71475983	42.78156281	68.46840668	62.05160904	34.62030411	61.17301559	729.4879761	5014.00301
91.5625	-1.62172401	15.58441544	27.83229828	122.4903107	53.35997772	-2.039505482	-1.005095482	0.492813319	66.07740784	43.74194336	67.36742401	66.72849274	38.90444183	67.45121002	729.4879761	5018.26301
91.4375	-1.525403023	15.93625546	26.77025414	155.0281372	53.40305328	-2.0024333	-0.939697564	0.469277829	65.98949432	43.32191849	77.35231781	60.48326874	29.64362335	60.13137817	729.4879761	5022.11301
92.5	-1.52600646	14.49275398	24.35504341	137.8023529	41.38867188	-1.828766823	-0.821210742	0.449051648	65.17632294	42.98590088	63.06214905	55.47724152	26.98879051	65.3112793	729.4879761	5025.87801
92.375	-1.88755846	13.54401779	28.15331459	117.9808884	42.43684769	-2.120732546	-0.904255152	0.426388115	64.53896332	43.11985397	60.47816467	65.84252167	33.05285263	79.57939911	729.4879761	5030.01801
92.625	-1.752866983	12.51303482	24.15423203	165.0769196	48.62109375	-1.811030626	-0.74131912	0.409335494	64.31919098	42.66350555	74.02317047	59.76504517	29.7461586	64.64643097	729.4879761	5034.44801
92.375	-1.910173655	13.18681335	27.73922539	65.97925568	36.45124435	-2.055529833	-0.823806346	0.400775671	64.09941101	42.53636551	90.65035248	54.04642868	28.57201958	68.02222443	729.4879761	5039.24301
92.625	-1.487360954	15.8730154	25.99904823	149.2417297	42.49845505	-1.844750643	-0.757176817	0.410449415	63.41810226	42.65896606	63.76443863	58.40967941	27.64035416	70.45075226	729.4879761	5043.79301
92.28125	-1.405537248	14.79654789	22.90258026	139.186264	38.54507065	-1.578689337	-0.659796059	0.417939127	64.49501038	42.4932251	59.41167068	58.22733688	27.57496452	66.59012604	729.4879761	5047.57301
92.3125	-2.214283228	11.4285717	27.86806107	133.9103241	39.30514526	-1.879737377	-0.795068324	0.422967762	65.26422882	42.37743759	60.08617783	59.17080307	28.89109421	65.11505127	729.4879761	5051.62801
92.3125	-1.760791898	13.79310322	26.74555779	102.2312469	53.14769745	-1.777508736	-0.754484832	0.424461961	65.0224762	43.01314545	84.97318268	65.11670685	30.91919708	66.08029938	729.4879761	5056.87801
